Topic,Name,Representation,Representative_Docs,Top_n_words,Number of Documents
-1,-1_微博热搜_代孕_结婚_女性,"['微博热搜', '代孕', '结婚', '女性', '离婚冷静期', '黑神话悟空', '离婚', '阻力', '悟空', '韩国']","['热点，马一下我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青岛代孕实验室，相关机构联合三甲医院医生开展代孕，取', '女性发展我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青岛代孕实验室，相关机构联合三甲医院医生开展代孕，取卵生', '受伤的只有女性我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青岛代孕实验室，相关机构联合三甲医院医生开展代孕，']","['微博热搜', '代孕', '结婚', '女性', '离婚冷静期', '黑神话悟空', '离婚', '阻力', '悟空', '韩国']",633
0,0_女性_代孕_结婚_实验室,"['女性', '代孕', '结婚', '实验室', '青岛', '相关', '韩国', '虐杀', '性侵', '畜牲']","['女性安全❗我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青岛代孕实验室，相关机构联合三甲医院医生开展代孕，取卵', '#女性健康#我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青岛代孕实验室，相关机构联合三甲医院医生开展代孕，取', '然而说几句大实话就被说是女性打女拳了😆\U0001faf0🏻//，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青岛代孕实验室，相关机构联合三甲医院医生开展代孕，']","['女性', '代孕', '结婚', '实验室', '青岛', '相关', '韩国', '虐杀', '性侵', '畜牲']",10832
1,1_结婚_微博热搜_女性_印度,"['结婚', '微博热搜', '女性', '印度', '虐杀', '性侵', 'diss', '女医生', '哈圈', '畜牲']","['这种规模化系统化的大型绞杀，们女的真是refugee中的refugee了我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了', '每一个运都有好有坏，以下总结的全都是在上一个运积累着，然后在离火爆发我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯', '“不要温和地走进那个良夜”我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细节令人发指，韩国男团看起来最老实巴交的成员对女性实施了性犯罪，青']","['结婚', '微博热搜', '女性', '印度', '虐杀', '性侵', 'diss', '女医生', '哈圈', '畜牲']",645
2,2_说话_选择_官方_博主,"['说话', '选择', '官方', '博主', '宣传', '游戏', '黑神话悟空', '评论', '支持', '女性']","['11我不针对任何一个博主，也不去干涉别人的选择，但我看到黑神话悟空在陷入这么大的辱女风波后官方从未出来澄清，或者为女性消费者说话，而一些女博主却出着仿妆帮游戏宣传，有点不是滋味。。。 \u200b\u200b', '难道爱男会有福报🤓我不针对任何一个博主，也不去干涉别人的选择，但我看到黑神话悟空在陷入这么大的辱女风波后官方从未出来澄清，或者为女性消费者说话，而一些女博主却出着仿妆帮游戏宣传，有点不是滋味。。。 \u200b\u200b', '你已经在干涉了，不是滋味就憋着，不发出来表现一下自己与众不同你要憋死我不针对任何一个博主，也不去干涉别人的选择，但我看到黑神话悟空在陷入这么大的辱女风波后官方从未出来澄清，或者为女性消费者说话，而一些女博主却出着仿妆帮游戏宣传，有点不是滋味。。。 \u200b\u200b']","['说话', '选择', '官方', '博主', '宣传', '游戏', '黑神话悟空', '评论', '支持', '女性']",144
3,3_模式_共同体_命运_生态环境,"['模式', '共同体', '命运', '生态环境', '提高', '地狱', '生育率', '国界', '可怕', '困境']","['魔幻2024//://:恐怖如斯//:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着', '//://:恐怖如斯//:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，', '头晕目眩//://:恐怖如斯//:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的']","['模式', '共同体', '命运', '生态环境', '提高', '地狱', '生育率', '国界', '可怕', '困境']",140
4,4_模式_真的_命运_共同体,"['模式', '真的', '命运', '共同体', '地狱', '生态环境', '提高', '生育率', '可怕', '裂开']","['//://:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙', '//:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可能都是hard模式，女性呢，地狱模式我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只', '抖…//:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可能都是hard我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而']","['模式', '真的', '命运', '共同体', '地狱', '生态环境', '提高', '生育率', '可怕', '裂开']",126
5,5_游戏_装作_黑神话_言论,"['游戏', '装作', '黑神话', '言论', '开发', '乙游', '宣传', '信息', '自由', '地位']","['只有恭初才会信投稿：某个抖音账号声称自己创立了全女游戏工作室，还拉了个工作人员微信群，声称目标是要制作超过黑神话的游戏，但其实这个所谓的工作室完全是男的反串的，做了一系列逆天反串行为，用ai图制作了一个橙光乙游文字游戏，然后故意定价299到处宣传自己游戏要对标黑神话，在微信群里也装作女性发表各种逆天反串言论，装作完全不懂游戏相关知识然后在群里说要开发游戏引擎，还煞有介事地发表了一', '赛博刚交还是这个水准投稿：某个抖音账号声称自己创立了全女游戏工作室，还拉了个工作人员微信群，声称目标是要制作超过黑神话的游戏，但其实这个所谓的工作室完全是男的反串的，做了一系列逆天反串行为，用ai图制作了一个橙光乙游文字游戏，然后故意定价299到处宣传自己游戏要对标黑神话，在微信群里也装作女性发表各种逆天反串言论，装作完全不懂游戏相关知识然后在群里说要开发游戏引擎，还煞有介事地发表了一个所谓的工', '♂演♂信，又开始赛博肛交了投稿：某个抖音账号声称自己创立了全女游戏工作室，还拉了个工作人员微信群，声称目标是要制作超过黑神话的游戏，但其实这个所谓的工作室完全是男的反串的，做了一系列逆天反串行为，用ai图制作了一个橙光乙游文字游戏，然后故意定价299到处宣传自己游戏要对标黑神话，在微信群里也装作女性发表各种逆天反串言论，装作完全不懂游戏相关知识然后在群里说要开发游戏引擎，还煞有介事地发表']","['游戏', '装作', '黑神话', '言论', '开发', '乙游', '宣传', '信息', '自由', '地位']",119
6,6_模式_抱团_世界_结婚,"['模式', '抱团', '世界', '结婚', '真的', '微博热搜', '地狱', '女性', '印度', 'diss']","[':女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可能都是hard模式，女性呢，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜', '…//://://:女性的困境没有国界……//://://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲', '/:放在一起看就真的挺吓人的…//:女性的困境没有国界……//:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，']","['模式', '抱团', '世界', '结婚', '真的', '微博热搜', '地狱', '女性', '印度', 'diss']",111
7,7_出台_没关系_运动员_家暴,"['出台', '没关系', '运动员', '家暴', '身份证', '中指', '新闻', '取消', '成功', '全网']","['无助又心酸整个8月的新闻感觉都是在践踏女性.，奥运赛场上为国争光的孙颖莎全红婵被“幼化”，强行给她们p上长发就为了成为实力不如自己的男运动员的小娇妻；，被家暴16次终身只能佩戴粪袋的小谢好不容易在离婚冷静期的阻力下离婚成功，血淋淋的案例没有取消离婚冷静期，而是出台了所谓的“结婚只需要身份证”；，辱华辱女的黑悟空受到了全网男人的大力追捧，主创站在天安men‘下竖中指没关系，只要辱女一切皆可以', '我们女的两眼一睁就是被剔除人籍整个8月的新闻感觉都是在践踏女性.，奥运赛场上为国争光的孙颖莎全红婵被“幼化”，强行给她们p上长发就为了成为实力不如自己的男运动员的小娇妻；，被家暴16次终身只能佩戴粪袋的小谢好不容易在离婚冷静期的阻力下离婚成功，血淋淋的案例没有取消离婚冷静期，而是出台了所谓的“结婚只需要身份证”；，辱华辱女的黑悟空受到了全网男人的大力追捧，主创站在天安men‘下竖中指没关系', '毛骨悚然整个8月的新闻感觉都是在践踏女性.，奥运赛场上为国争光的孙颖莎全红婵被“幼化”，强行给她们p上长发就为了成为实力不如自己的男运动员的小娇妻；，被家暴16次终身只能佩戴粪袋的小谢好不容易在离婚冷静期的阻力下离婚成功，血淋淋的案例没有取消离婚冷静期，而是出台了所谓的“结婚只需要身份证”；，辱华辱女的黑悟空受到了全网男人的大力追捧，主创站在天安men‘下竖中指没关系，只要辱女一切皆可以原']","['出台', '没关系', '运动员', '家暴', '身份证', '中指', '新闻', '取消', '成功', '全网']",79
8,8_黑神话_放弃_微博_觉醒,"['黑神话', '放弃', '微博', '觉醒', '好好', '该死', '手机', '男拳', '女生', '评论']","['笑坏了//:😭//:致敬传奇品客二次元男装女男拳营销号贾海东先生，凌晨哭诉亲妈病重放弃抢救，一觉醒来新北捡尸；守夜不忘引导网暴13岁女生；觉得自己该死没好好陪家人，4小时后兽人控；吹完黑神话牛逼，第二天去看骨灰盒；上一秒在反思中刷手机，下一秒分享女子差点被卡车孝掉大牙了里神乐，家里人趋势了还不忘更新微博，大夫也表示尽力了，说节袁，去icu也只是跟现在维系，30天内，博主已拉黑恶意评论', '祝早④//:致敬传奇品客二次元男装女男拳营销号贾海东先生，凌晨哭诉亲妈病重放弃抢救，一觉醒来新北捡尸；守夜不忘引导网暴13岁女生；觉得自己该死没好好陪家人，4小时后兽人控；吹完黑神话牛逼，第二天去看骨灰盒；上一秒在反思中刷手机，下一秒分享女子差点被卡车碾死的大运孝掉大牙了里神乐，家里人趋势了还不忘更新微博，大夫也表示尽力了，说节袁，去icu也只是跟现在维系，30天内，博主已拉黑恶意评论', '绝了//:致敬传奇品客二次元男装女男拳营销号贾海东先生，凌晨哭诉亲妈病重放弃抢救，一觉醒来新北捡尸；守夜不忘引导网暴13岁女生；觉得自己该死没好好陪家人，4小时后兽人控；吹完黑神话牛逼，第二天去看骨灰盒；上一秒在反思中刷手机，下一秒分享女子差点被卡车碾死的孝掉大牙了里神乐，家里人趋势了还不忘更新微博，大夫也表示尽力了，说节袁，去icu也只是跟现在维系，30天内，博主已拉黑恶意评论用户5']","['黑神话', '放弃', '微博', '觉醒', '好好', '该死', '手机', '男拳', '女生', '评论']",40
9,9_网络_反对_叙事_支持,"['网络', '反对', '叙事', '支持', '挑起', '黑神话', '对立', '杨奇', '性别', '文化输出']","['公式就是好用//说几句个人的感慨：，现在他们说劝阻过他们的人，在挑起对立；，反对了“性别叙事”的人，被他们说是“厕妹”，质疑了“双标行为”的人，被他们说是“网络暴力”，制止了“性骚扰”的人，被他们说是“包容和支持军国主义”，斥责杨奇的劣行的人，被他们说是干扰《黑神话》的正常发售，劝阻给《黑神话》“无限上价值”的人，被他们说是阻碍“中国文化输出”，指出游戏主创“歧视女性”的错误发言的人，被', '//说几句个人的感慨：，现在他们说劝阻过他们的人，在挑起对立；，反对了“性别叙事”的人，被他们说是“厕妹”，质疑了“双标行为”的人，被他们说是“网络暴力”，制止了“性骚扰”的人，被他们说是“包容和支持军国主义”，斥责杨奇的劣行的人，被他们说是干扰《黑神话》的正常发售，劝阻给《黑神话》“无限上价值”的人，被他们说是阻碍“中国文化输出”，指出游戏主创“歧视', '//说几句个人的感慨：，现在他们说劝阻过他们的人，在挑起对立；，反对了“性别叙事”的人，被他们说是“厕妹”，质疑了“双标行为”的人，被他们说是“网络暴力”，制止了“性骚扰”的人，被他们说是“包容和支持军国主义”，斥责杨奇的劣行的人，被他们说是干扰《黑神话》的正常发售，劝阻给《黑神话》“无限上价值”的人，被他们说是阻碍“中国文化输出”，指出游戏主创“歧视女性”的错误']","['网络', '反对', '叙事', '支持', '挑起', '黑神话', '对立', '杨奇', '性别', '文化输出']",33
10,10_视频_实在_方式_无数,"['视频', '实在', '方式', '无数', '感叹', '更是', '传播', '智商', '感人', '攻击']","['男的演男的信全员唇珠//他还创了一个BHB全男游戏工作室的账号，发布的西瓜条视频的文案和出镜方式都和全女游戏工作室的账号里发布的西瓜条视频一样，如此明显又低能地反串，还被各种男拳营销号做成视频大加传播，还有无数人信，实在让人感叹部分反串男有多4000+另一些人更是但凡见到攻击女性或女性黑料就立马扔掉脑子全然相信，实在智商感人，让人疑惑这帮人是不是不造谣就浑身难受:', '当他装女时，他最阳刚//他还创了一个BHB全男游戏工作室的账号，发布的西瓜条视频的文案和出镜方式都和全女游戏工作室的账号里发布的西瓜条视频一样，如此明显又低能地反串，还被各种男拳营销号做成视频大加传播，还有无数人信，实在让人感叹部分反串男有多4000+另一些人更是但凡见到攻击女性或女性黑料就立马扔掉脑子全然相信，实在智商感人，让人疑惑这帮人是不是不造谣就浑身难受:IM', '噗//他还创了一个BHB全男游戏工作室的账号，发布的西瓜条视频的文案和出镜方式都和全女游戏工作室的账号里发布的西瓜条视频一样，如此明显又低能地反串，还被各种男拳营销号做成视频大加传播，还有无数人信，实在让人感叹部分反串男有多4000+另一些人更是但凡见到攻击女性或女性黑料就立马扔掉脑子全然相信，实在智商感人，让人疑惑这帮人是不是不造谣就浑身难受::logo，暂时']","['视频', '实在', '方式', '无数', '感叹', '更是', '传播', '智商', '感人', '攻击']",32
11,11_情绪_原谅_没关系_中指,"['情绪', '原谅', '没关系', '中指', '出台', '运动员', '身份证', '家暴', '取消', '成功']","['奥运赛场上为国争光的孙颖莎全红婵被“幼化”，强行给她们p上长发就为了成为实力不如自己的男运动员的小娇妻；，被家暴16次终身只能佩戴粪袋的小谢好不容易在离婚冷静期的阻力下离婚成功，血淋淋的案例没有取消离婚冷静期，而是出台了所谓的“结婚只需要身份证”；，辱华辱女的黑悟空受到了全网男人的大力追捧，主创站在天安men‘下竖中指没关系，只要辱女一切皆可以原谅；，能为女性提供情绪价值的乙游被满口脏话的哈圈男', '奥运赛场上为国争光的孙颖莎全红婵被“幼化”，强行给她们p上长发就为了成为实力不如自己的男运动员的小娇妻；，被家暴16次终身只能佩戴粪袋的小谢好不容易在离婚冷静期的阻力下离婚成功，血淋淋的案例没有取消离婚冷静期，而是出台了所谓的“结婚只需要身份证”；，辱华辱女的黑悟空受到了全网男人的大力追捧，主创站在天安men‘下竖中指没关系，只要辱女一切皆可以原谅；，能为女性提供情绪价值的乙游被满口脏话的哈圈男', '奥运赛场上为国争光的孙颖莎全红婵被“幼化”，强行给她们p上长发就为了成为实力不如自己的男运动员的小娇妻；，被家暴16次终身只能佩戴粪袋的小谢好不容易在离婚冷静期的阻力下离婚成功，血淋淋的案例没有取消离婚冷静期，而是出台了所谓的“结婚只需要身份证”；，辱华辱女的黑悟空受到了全网男人的大力追捧，主创站在天安men‘下竖中指没关系，只要辱女一切皆可以原谅；，能为女性提供情绪价值的乙游被满口脏话的哈圈男']","['情绪', '原谅', '没关系', '中指', '出台', '运动员', '身份证', '家暴', '取消', '成功']",27
