Topic,Name,Representation,Representative_Docs,Top_n_words,Number of Documents
12,12_游戏_有人_乙游_支持,"['游戏', '有人', '乙游', '支持', '宣传', '刻板', '印象', '思想', '尊重', '未来']","['从很久很久以前开始，在玩游戏这一块，人们似乎多数都是认定：“女的打游戏不行的”、“游戏吗，可能你会说乙游游戏就是服务女性为主的游戏区域，他们做这些是应该的，所以从未有人将它拿去作为宣传说是xx游戏证明了女性购买力，所以从未有人将它拿去作为宣传说是xx乙游上线，给全体员工放一天假支持一下，有的人又要说这是他十几年前的刻板印象，现在思想是会改变的，但你不可否认十几年前他就是有不尊重女性的成分且刻', '从很久很久以前开始，在玩游戏这一块，人们似乎多数都是认定：“女的打游戏不行的”、“游戏吗，可能你会说乙游游戏就是服务女性为主的游戏区域，他们做这些是应该的，所以从未有人将它拿去作为宣传说是xx游戏证明了女性购买力，所以从未有人将它拿去作为宣传说是xx乙游上线，给全体员工放一天假支持一下，有的人又要说这是他十几年前的刻板印象，现在思想是会改变的，但你不可否认十几年前他就是有不尊重女性的成分且刻', '从很久很久以前开始，在玩游戏这一块，人们似乎多数都是认定：“女的打游戏不行的”、“游戏吗，可能你会说乙游游戏就是服务女性为主的游戏区域，他们做这些是应该的，所以从未有人将它拿去作为宣传说是xx游戏证明了女性购买力，所以从未有人将它拿去作为宣传说是xx乙游上线，给全体员工放一天假支持一下，有的人又要说这是他十几年前的刻板印象，现在思想是会改变的，但你不可否认十几年前他就是有不尊重女性的成分且刻']","['游戏', '有人', '乙游', '支持', '宣传', '刻板', '印象', '思想', '尊重', '未来']",26
13,13_集体_黑神话_几天_男性,"['集体', '黑神话', '几天', '男性', '微博', '恶意', '只能', '支持', '一句', '现实']","['不过你家主创都可以无缘无故竖中指兼倭里倭气南京太阴了，无端骂女对于他来说简直太寻常小事叻//你刷到是男性集体扫射女性，而我刷到的是女性借黑神话集体扫射男性，这就是现实，网络上的东西永远都是为你量身定制的，围观了几天微博……只能说很多男人对女性的恶意和看不起都是不演了不装了，打着支持黑神话的幌子来对女性集体侮辱性扫射，我基本上没有看到一个正常男的说一句公道的话，想当年黑神话刚释出消息的', '说的这个游戏主创的言论，不是一群男的非要凑上来说，围观了几天微博……只能说很多男人对女性的恶意和看不起都是不演了不装了，打着支持黑神话的幌子来对女性集体侮辱性扫射，我基本上没有看到一个正常男的说一句公道的话，//你刷到是男性集体扫射女性，而我刷到的是女性借黑神话集体扫射男性，这就是现实，网络上的东西永远都是为你量身定制的，想当年黑神话刚释出消息的时候，喜欢大圣的我激动的在b站刷了一遍又一', '起因是什么，是男主创无缘无故骂女呀，你不骂女谁搭理你，先撩者贱//你刷到是男性集体扫射女性，而我刷到的是女性借黑神话集体扫射男性，这就是现实，网络上的东西永远都是为你量身定制的，围观了几天微博……只能说很多男人对女性的恶意和看不起都是不演了不装了，打着支持黑神话的幌子来对女性集体侮辱性扫射，我基本上没有看到一个正常男的说一句公道的话，想当年黑神话刚释出消息的时候，喜欢大圣的我激动的在']","['集体', '黑神话', '几天', '男性', '微博', '恶意', '只能', '支持', '一句', '现实']",24
14,14_事件_黑神话_生物_微博,"['事件', '黑神话', '生物', '微博', '维护', '官方', '姐妹们', '发生', '女人', '相关']","['\u200b::倍舒特黑神话辱女事件，作关来自建二.官博互动黑神话相关，网倍舒特官方微博：陪吃一包芝士牛肉味的网页链接，华、抄袭等行为三.①②事件发生后，姐妹们积极维护，穿梭在写字楼的灵长类生物当代“廉价劳动力”的代名，倍舒特四.倍舒特用户体验感，量卫生维优2023-05五.倍舒特宣称关爱女性，#黑神话', '\u200b::倍舒特黑神话辱女事件，作关来自建二.官博互动黑神话相关，网倍舒特官方微博：陪吃一包芝士牛肉味的网页链接，华、抄袭等行为三.①②事件发生后，姐妹们积极维护，穿梭在写字楼的灵长类生物当代“廉价劳动力”的代名，倍舒特四.倍舒特用户体验感，量卫生维优2023-05五.倍舒特宣称关爱女性，#黑神话', '\u200b::倍舒特黑神话辱女事件，作关来自建二.官博互动黑神话相关，网倍舒特官方微博：陪吃一包芝士牛肉味的网页链接，华、抄袭等行为三.①②事件发生后，姐妹们积极维护，穿梭在写字楼的灵长类生物当代“廉价劳动力”的代名，倍舒特四.倍舒特用户体验感，量卫生维优2023-05五.倍舒特宣称关爱女性，#黑神话']","['事件', '黑神话', '生物', '微博', '维护', '官方', '姐妹们', '发生', '女人', '相关']",24
15,15_阴暗处_装不下_掩埋_多到,"['阴暗处', '装不下', '掩埋', '多到', '地下', '家里', '一只', '发现', '蟑螂', '微博热搜']","['//而这些只是爆出来的，掩埋在地下的不知道还有多少，当你发现家里出现了一只蟑螂的时候，阴暗处已经多到装不下了我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细', '精准概括//而这些只是爆出来的，掩埋在地下的不知道还有多少，当你发现家里出现了一只蟑螂的时候，阴暗处已经多到装不下了我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细', '//而这些只是爆出来的，掩埋在地下的不知道还有多少，当你发现家里出现了一只蟑螂的时候，阴暗处已经多到装不下了我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印度女医生被畜牲们性侵虐杀，案发细']","['阴暗处', '装不下', '掩埋', '多到', '地下', '家里', '一只', '发现', '蟑螂', '微博热搜']",23
16,16_粉丝_购买力_黑神话_男性购买力,"['粉丝', '购买力', '黑神话', '男性购买力', '瑞幸', '联名', '朋友圈', '只能', '数据', '性别']","['因为女性都在抵制黑神话，所以由此可以得出黑神话的联名产品，都是男性在卖的#黑神话证明男性购买力##瑞幸CGO称男性购买力颠覆认知了#，那也只能得出结论黑神话粉丝比jojo粉丝购买力强，或者黑神话粉丝比茅台粉丝购买力强…，瑞幸是个咖啡品牌，不是海澜之家，不是只卖男的不卖女的，品牌CGO在朋友圈说男性购买力颠覆团队认知了，没有透露任何数据，直接就夸上男的了…，所以买联名的所有客户都一个不漏做', '没问题呀黑神话爆火咖啡九成以上是男性然后说男性购买力强大有什么问题，字里行间都没说过你们女性没有购买力怎么脑补出来的#黑神话证明男性购买力#，那也只能得出结论黑神话粉丝比jojo粉丝购买力强，或者黑神话粉丝比茅台粉丝购买力强…，瑞幸是个咖啡品牌，不是海澜之家，不是只卖男的不卖女的，品牌CGO在朋友圈说男性购买力颠覆团队认知了，没有透露任何数据，直接就夸上男的了…，所以买联名的所有客户都一个不漏做', '哈哈我都好奇千元机男用户买得起游戏么，别光是嘴上支持吧//，那也只能得出结论黑神话粉丝比jojo粉丝购买力强，或者黑神话粉丝比茅台粉丝购买力强…，瑞幸是个咖啡品牌，不是海澜之家，不是只卖男的不卖女的，品牌CGO在朋友圈说男性购买力颠覆团队认知了，没有透露任何数据，直接就夸上男的了…，所以买联名的所有客户都一个不漏做了性别统计调查，确认都是男的买的，女的上班看到新咖啡买一杯尝一口立马变性长jb了…']","['粉丝', '购买力', '黑神话', '男性购买力', '瑞幸', '联名', '朋友圈', '只能', '数据', '性别']",22
17,17_模式_地狱_共同体_命运,"['模式', '地狱', '共同体', '命运', '生态环境', '提高', '生育率', '可怕', '国界', '困境']","['真有意思//://:放在一起看就真的挺吓人的…//:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可能都是hard模式，女性呢，地狱模式我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取', '//://://://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可能都是hard我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取', '哈哈//:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//:大家在地球可能都是hard模式，女性呢，地狱模式我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取']","['模式', '地狱', '共同体', '命运', '生态环境', '提高', '生育率', '可怕', '国界', '困境']",22
18,18_真的_模式_地狱_共同体,"['真的', '模式', '地狱', '共同体', '命运', '结婚', '微博热搜', '吓人', 'diss', '放在']","['//://:放在一起看就真的挺吓人的…//://:女性的困境没有国界……//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss，印', '想挖个坑把男的全埋了//:挠头..//://:放在一起看就真的挺吓人的…//://:女性命运共同体之地狱模式//:这可怕的生态环境还想提高生育率//:放一起看真的整个人裂开//，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss', '//://:😐//:😓//://://://://:挠头..//:放在一起看就真的挺吓人的…//:女性命运共同体之地狱模式//:放一起看真的整个人裂开我总结一下这些天微博热搜都看了些什么：，离婚冷静期变相延长，结婚也不需要户口本了，女性结婚的阻力墙给你凿个洞，离婚的出口给你堵上，黑神话悟空辱女，顺直男空前狂欢不辱不玩，而女性只是玩乙女游戏自我取悦犯不着男的什么事，被哈圈男连番diss']","['真的', '模式', '地狱', '共同体', '命运', '结婚', '微博热搜', '吓人', 'diss', '放在']",21
19,19_黑神话_抵制_只会_道歉,"['黑神话', '抵制', '只会', '道歉', '想法', '有人', '联动', '被迫', '事件', '真的']","['又伟大了波看到全职高手因为联动黑神话被抵制被迫道歉的瓜，突然有点想法，在直播的时候有人问他为什么不玩黑神话，他说”主播只会玩英雄联盟”，喻文波在LOL职业选手里面算长得比较清秀的，所以女粉稍微多一些，但女粉多归多，毕竟是LOL职业选手，男粉比例绝对也不低，再加上竞女对哥哥的宽容度普遍较高，所以喻文波即便真的开播黑神话，大概率不会有什么问题，小概率可能会被冲，但是，即使是小概率事件，喻文波都知道公', '看到全职高手因为联动黑神话被抵制被迫道歉的瓜，突然有点想法，在直播的时候有人问他为什么不玩黑神话，他说”主播只会玩英雄联盟”，喻文波在LOL职业选手里面算长得比较清秀的，所以女粉稍微多一些，但女粉多归多，毕竟是LOL职业选手，男粉比例绝对也不低，再加上竞女对哥哥的宽容度普遍较高，所以喻文波即便真的开播黑神话，大概率不会有什么问题，小概率可能会被冲，但是，即使是小概率事件，喻文波都知道公众人物要尽', '看到全职高手因为联动黑神话被抵制被迫道歉的瓜，突然有点想法，在直播的时候有人问他为什么不玩黑神话，他说”主播只会玩英雄联盟”，喻文波在LOL职业选手里面算长得比较清秀的，所以女粉稍微多一些，但女粉多归多，毕竟是LOL职业选手，男粉比例绝对也不低，再加上竞女对哥哥的宽容度普遍较高，所以喻文波即便真的开播黑神话，大概率不会有什么问题，小概率可能会被冲，但是，即使是小概率事件，喻文波都知道公众人物要尽']","['黑神话', '抵制', '只会', '道歉', '想法', '有人', '联动', '被迫', '事件', '真的']",19
20,20_游戏_纠结_带动_反向,"['游戏', '纠结', '带动', '反向', '黑马', '一款', '时代', '叙事', '营销', '全网']","['这种治好了也是流口水也是为男性叙事感动起来了，我去查了rn的点是游戏中一个主创在2013年说过不需 要女玩家反向带动，\u200b\u200b::05:32，全网大力营销黑马楼但是又说这游戏rn搞得我很纠结，我都没开始玩任何网游和丰游，他这个话有时代局限，我现在挺纠结的一方面觉得这游戏罪不至此还是一款火，出圈的国产游戏另一方面看到女性玩这个游戏也有一种，#乃万乙游#以她的性格我以为她', '男的演点好的治好了也是流口水也是为男性叙事感动起来了，我去查了rn的点是游戏中一个主创在2013年说过不需 要女玩家反向带动，\u200b\u200b::05:32，全网大力营销黑马楼但是又说这游戏rn搞得我很纠结，我都没开始玩任何网游和丰游，他这个话有时代局限，我现在挺纠结的一方面觉得这游戏罪不至此还是一款火，出圈的国产游戏另一方面看到女性玩这个游戏也有一种，#乃万乙游#以她的性格', '广西吗喽中间的猩猩相惜也是为男性叙事感动起来了，我去查了rn的点是游戏中一个主创在2013年说过不需 要女玩家反向带动，\u200b\u200b::05:32，全网大力营销黑马楼但是又说这游戏rn搞得我很纠结，我都没开始玩任何网游和丰游，他这个话有时代局限，我现在挺纠结的一方面觉得这游戏罪不至此还是一款火，出圈的国产游戏另一方面看到女性玩这个游戏也有一种，#乃万乙游#以她的性格我以为她玩的是']","['游戏', '纠结', '带动', '反向', '黑马', '一款', '时代', '叙事', '营销', '全网']",19
21,21_杨奇_女玩家_还会_侮辱,"['杨奇', '女玩家', '还会', '侮辱', '被迫', '简单', '喜欢', '纠结', '刻板', '黑神话']","['恶俗#黑神话悟空不需要女玩家##黑神话悟空##黑神话悟空辱女##黑神话#，还会让男性认为只要能作品好，那侮辱女性是理所应当、没任何问题的事，上个集合被锁了，我继续发，如果被迫换号，我还是会继续发，能让多一个人看到和了解这些，就是我的动力，我其实存了杨奇rh的资料，但是这个很容易炸，我还在纠结要不要发，p1，当下战火的起源，杨奇13年在原文大段写女玩家只玩简单游戏、只喜欢刻板印象里的女性流', '#黑神话悟空不需要女玩家##黑神话悟空##黑神话悟空辱女##黑神话#，还会让男性认为只要能作品好，那侮辱女性是理所应当、没任何问题的事，上个集合被锁了，我继续发，如果被迫换号，我还是会继续发，能让多一个人看到和了解这些，就是我的动力，我其实存了杨奇rh的资料，但是这个很容易炸，我还在纠结要不要发，p1，当下战火的起源，杨奇13年在原文大段写女玩家只玩简单游戏、只喜欢刻板印象里的女性流行商', '#黑神话悟空不需要女玩家##黑神话悟空##黑神话悟空辱女##黑神话#，还会让男性认为只要能作品好，那侮辱女性是理所应当、没任何问题的事，上个集合被锁了，我继续发，如果被迫换号，我还是会继续发，能让多一个人看到和了解这些，就是我的动力，我其实存了杨奇rh的资料，但是这个很容易炸，我还在纠结要不要发，p1，当下战火的起源，杨奇13年在原文大段写女玩家只玩简单游戏、只喜欢刻板印象里的女性流行商']","['杨奇', '女玩家', '还会', '侮辱', '被迫', '简单', '喜欢', '纠结', '刻板', '黑神话']",17
22,22_热度_历史_游戏_依然,"['热度', '历史', '游戏', '依然', '攻击', '反对', '黑马', '发生', '悟空', '选择']","['呵呵，被我狂推荐过的女up翻车了，还挽尊说很游戏无关，她不知道游戏发生了什么，不就是图黑马喽的热度，既想蹭热度吸引一波不存在的男粉，又想稳住女粉别掉粉，想出这么一招，但是女粉既然反对了，依然选择讨好不存在的男粉，而去攻击女粉说人家是黑你不信任你，置顶|1.这不是恰饭！不是广告！讲的是《西游记》，2.这个历史视频，我理头整理各种资料做了10天，3.我讲的是140', '呵呵，被我狂推荐过的女up翻车了，还挽尊说很游戏无关，她不知道游戏发生了什么，不就是图黑马喽的热度，既想蹭热度吸引一波不存在的男粉，又想稳住女粉别掉粉，想出这么一招，但是女粉既然反对了，依然选择讨好不存在的男粉，而去攻击女粉说人家是黑你不信任你，置顶|1.这不是恰饭！不是广告！讲的是《西游记》，2.这个历史视频，我理头整理各种资料做了10天，3.我讲的是1400年，黑悟空“的演变', '故意的呗，虐粉转换新赛道，还可以求取男人的欢心//，还挽尊说很游戏无关，她不知道游戏发生了什么，不就是图黑马喽的热度，既想蹭热度吸引一波不存在的男粉，又想稳住女粉别掉粉，想出这么一招，但是女粉既然反对了，依然选择讨好不存在的男粉，而去攻击女粉说人家是黑你不信任你，置顶|1.这不是恰饭！不是广告！讲的是《西游记》，2.这个历史视频，我理头整理各种资料做了10天，3.我讲的是1400年，黑悟空“的演']","['热度', '历史', '游戏', '依然', '攻击', '反对', '黑马', '发生', '悟空', '选择']",17
23,23_杨奇_女玩家_商品_喜欢,"['杨奇', '女玩家', '商品', '喜欢', '还会', '侮辱', '被迫', '刻板', '印象', '纠结']","['nmd#黑神话悟空不需要女玩家##黑神话悟空##黑神话悟空辱女##黑神话#，还会让男性认为只要能作品好，那侮辱女性是理所应当、没任何问题的事，上个集合被锁了，我继续发，如果被迫换号，我还是会继续发，能让多一个人看到和了解这些，就是我的动力，我其实存了杨奇rh的资料，但是这个很容易炸，我还在纠结要不要发，p1，当下战火的起源，杨奇13年在原文大段写女玩家只玩简单游戏、只喜欢刻板印象里的女性流行商品', '#黑神话悟空不需要女玩家##黑神话悟空##黑神话悟空辱女##黑神话#，还会让男性认为只要能作品好，那侮辱女性是理所应当、没任何问题的事，上个集合被锁了，我继续发，如果被迫换号，我还是会继续发，能让多一个人看到和了解这些，就是我的动力，我其实存了杨奇rh的资料，但是这个很容易炸，我还在纠结要不要发，p1，当下战火的起源，杨奇13年在原文大段写女玩家只玩简单游戏、只喜欢刻板印象里的女性流行商品', '犯贱#黑神话悟空不需要女玩家##黑神话悟空##黑神话悟空辱女##黑神话#，还会让男性认为只要能作品好，那侮辱女性是理所应当、没任何问题的事，上个集合被锁了，我继续发，如果被迫换号，我还是会继续发，能让多一个人看到和了解这些，就是我的动力，我其实存了杨奇rh的资料，但是这个很容易炸，我还在纠结要不要发，p1，当下战火的起源，杨奇13年在原文大段写女玩家只玩简单游戏、只喜欢刻板印象里的女性流行商品、']","['杨奇', '女玩家', '商品', '喜欢', '还会', '侮辱', '被迫', '刻板', '印象', '纠结']",16
24,24_游戏_黑马_纠结_小说,"['游戏', '黑马', '纠结', '小说', '一款', '带动', '反向', '时代', '一种', '营销']","['\u200b\u200b::05:32，我去查了rn的点是游戏中一个主创在2013年说过不需 要女玩家反向带动，全网大力营销黑马楼但是又说这游戏rn搞得我很纠结，我都没开始玩任何网游和丰游，他这个话有时代局限，我现在挺纠结的一方面觉得这游戏罪不至此还是一款火，出圈的国产游戏另一方面看到女性玩这个游戏也有一种，#乃万乙游#以她的性格我以为她玩的是黑马楼并且会，#黄灿灿的微博像一本青春校园小说#', '\u200b\u200b::05:32，我去查了rn的点是游戏中一个主创在2013年说过不需 要女玩家反向带动，全网大力营销黑马楼但是又说这游戏rn搞得我很纠结，我都没开始玩任何网游和丰游，他这个话有时代局限，我现在挺纠结的一方面觉得这游戏罪不至此还是一款火，出圈的国产游戏另一方面看到女性玩这个游戏也有一种，#乃万乙游#以她的性格我以为她玩的是黑马楼并且会，#黄灿灿的微博像一本青春校园小说#', '\u200b\u200b::05:32，我去查了rn的点是游戏中一个主创在2013年说过不需 要女玩家反向带动，全网大力营销黑马楼但是又说这游戏rn搞得我很纠结，我都没开始玩任何网游和丰游，他这个话有时代局限，我现在挺纠结的一方面觉得这游戏罪不至此还是一款火，出圈的国产游戏另一方面看到女性玩这个游戏也有一种，#乃万乙游#以她的性格我以为她玩的是黑马楼并且会，#黄灿灿的微博像一本青春校园小说#']","['游戏', '黑马', '纠结', '小说', '一款', '带动', '反向', '时代', '一种', '营销']",16
25,25_玩游戏_玩家_男性_女玩家,"['玩游戏', '玩家', '男性', '女玩家', '女性玩家', '群体', '权利', '几个', '发言', '情况']","['那就是五月份时期，某宅男群体的ml游戏由于太过低俗被加改，后是拿几个不成证据的图说是女性玩家到处去他们那里鸠占鹊巢，而他们目前自称乙游男性玩家，先是又当又立说自己也有玩游戏的权利，叠纸没有要求男性不能玩，可以看到，还有不少你家温和女玩家真的在教他们玩游戏和推荐，公开造谣式发言他们才是大头玩家，要求女角色裸露色情，只是提醒一下，这种情况下，还会有中立女玩家上赶着去拉偏架和喊平等吗，这三名', '那就是五月份时期，某宅男群体的ml游戏由于太过低俗被加改，后是拿几个不成证据的图说是女性玩家到处去他们那里鸠占鹊巢，而他们目前自称乙游男性玩家，先是又当又立说自己也有玩游戏的权利，叠纸没有要求男性不能玩，可以看到，还有不少你家温和女玩家真的在教他们玩游戏和推荐，公开造谣式发言他们才是大头玩家，要求女角色裸露色情，只是提醒一下，这种情况下，还会有中立女玩家上赶着去拉偏架和喊平等吗，这三名', '那就是五月份时期，某宅男群体的ml游戏由于太过低俗被加改，后是拿几个不成证据的图说是女性玩家到处去他们那里鸠占鹊巢，而他们目前自称乙游男性玩家，先是又当又立说自己也有玩游戏的权利，叠纸没有要求男性不能玩，可以看到，还有不少你家温和女玩家真的在教他们玩游戏和推荐，公开造谣式发言他们才是大头玩家，要求女角色裸露色情，只是提醒一下，这种情况下，还会有中立女玩家上赶着去拉偏架和喊平等吗，这三名']","['玩游戏', '玩家', '男性', '女玩家', '女性玩家', '群体', '权利', '几个', '发言', '情况']",16
26,26_联动_厌女_尊重_悟空,"['联动', '厌女', '尊重', '悟空', '黑神话', '游戏', '黑神话悟空', '背景', '寻思', '记得']","['转游戏《黑神话：悟空》避雷了，厌女“3A大作”最近在宣发 新增加黑神话悟空和曾经被爆不尊重女性的Cherry键盘的梦幻联动 \u200b\u200b', '转游戏《黑神话：悟空》避雷了，厌女“3A大作”最近在宣发 新增加黑神话悟空和曾经被爆不尊重女性的Cherry键盘的梦幻联动 \u200b\u200b', '刷到了鞭尸一下♡游戏《黑神话：悟空》避雷了，厌女“3A大作”最近在宣发 新增加黑神话悟空和曾经被爆不尊重女性的Cherry键盘的梦幻联动 \u200b\u200b']","['联动', '厌女', '尊重', '悟空', '黑神话', '游戏', '黑神话悟空', '背景', '寻思', '记得']",15
